platform,platform_domain,category,quality_score,action,old_profile_found,old_brand_updated,account_email_used,public_profile_url,submitted_date,status,public_website_link_visible,backlink_counted,link_target,link_type,noindex_detected,moderation_required,user_action_required,verification_method,description_language,notes
"GoodFirms","goodfirms.co","agency directory","9","create_attempted","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","true","Supply verified years in business, at least five genuine projects, and real client references willing to take verification calls.","Company and client-reference verification","English","The required history/project/client evidence is not publicly verifiable from ChisinauWeb and was not invented."
"AgencySpotter","agencyspotter.com","agency directory","8","create_attempted","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","true","Confirm truthfully that the business meets the platform's two-FTE minimum and provide the real authorized contact name.","Eligibility and personal contact required","English","Stopped at eligibility fields; team size was not inferred."
"SuperbCompanies","superbcompanies.com","agency directory","8","create_attempted","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","true","Provide the real authorized representative's first and last name and complete any normal email verification.","Personal contact fields required","English","Free submission appears relevant, but no surname was inferred."
"TopDevelopers","topdevelopers.co","agency directory","8","create_attempted","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","true","Provide the real authorized representative's first and last name before continuing.","Personal contact fields required","English","No submission was made because required personal identity data is not public source-of-truth material."
"Kompass","kompass.com","B2B company directory","9","create_attempted","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","true","Supply the exact registered legal company name/details and the real contact person's role.","Legal-registration and personal-role verification","English","The platform is reputable, but required legal fields cannot be answered truthfully from the public site."
"BigBoss.md","bigboss.md","Moldova business directory","9","create_attempted","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","true","Provide the exact IDNO and registered-subject details, if ChisinauWeb is a registered subject eligible for the directory.","IDNO/legal-business verification","Romanian","Strong local relevance. No IDNO or legal entity was inferred."
"SJN Moldova","sjn.md","B2B technology directory","8","create_attempted","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","true","Provide the real contact person's salutation and full name, then create a unique password in the password manager.","Personal contact and password registration","English","The directory accepts B2B technology services, but explicitly rejects incomplete or incorrect contact-person data."
"LinkedIn Company Page","linkedin.com","company social profile","10","create_attempted","false","false","existing authenticated LinkedIn user; identity not recorded","","","failed_technical","false","false","https://chisinauweb.com/","unavailable","not_checked","false","Open LinkedIn's Create a Company Page flow manually, confirm the account is eligible to administer it, and enter truthful organization size/type.","Existing LinkedIn session; setup URL redirected to the feed","English","A real authenticated user session exists, but no company page was created and no private profile data was used as listing content."
"Behance","behance.net","creative portfolio profile","8","create_attempted","false","false","none","","","failed_technical","false","false","https://chisinauweb.com/","unavailable","not_checked","false","Complete Adobe account onboarding manually with a real identity, then publish only ChisinauWeb-owned portfolio visuals and links.","Adobe authentication opened outside the controllable page context","English","WebBridge could not access the Adobe signup context. No account or portfolio was created."
"Trustpilot Business","business.trustpilot.com","brand/review profile","9","create_attempted","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","false","Complete reCAPTCHA and provide the real authorized representative details; remain on the free plan.","reCAPTCHA and personal contact verification","English","No CAPTCHA bypass, paid plan, or trial was used."
"Apple Business Connect","businessconnect.apple.com","local business profile","10","evaluated_registration_gate","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","false","Provide verified legal-business information and complete Apple's permitted business verification; do not use document or identity verification through automation.","Business/legal verification required","English","High-quality map/entity candidate, but the public source does not establish the required legal details."
"Europages","europages.com","European B2B directory","8","evaluated_registration_gate","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","true","Provide the exact VAT/registration number and legal company identity before creating a profile.","Mandatory VAT/legal-company data","English","Official terms allow free profiles with a website link, but VAT is mandatory and was not inferred."
"Infobel Moldova","local.infobel.md","Moldova local directory","8","package_checked","false","false","none","","","rejected_paid","false","false","https://chisinauweb.com/","unavailable","not_checked","false","none","No account created","English","The public pricing page advertised a zero-cost tier, but the selectable onboarding page presented Basic at 99 EUR/year. The flow was abandoned before login or payment."
"Clutch","clutch.co","agency directory","10","evaluated_registration_gate","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","true","Provide verified employee count, minimum project size, hourly rate, and real contact details if an entity-only profile is still desired.","Company-data review and moderation","English","The free Basic profile is credible but explicitly has no website link from directory pages, so it would not count as a backlink."
"Sortlist","sortlist.com","agency directory","8","evaluated","false","false","none","","","rejected_no_public_link","false","false","https://chisinauweb.com/","unavailable","not_checked","false","none","Not started","English","A free profile may be useful as an entity mention, but the visible SEO backlink feature is sold as a paid add-on. Not used for this free-link campaign."
"Bizpages","bizpages.org","general business directory","4","legacy_profile_evaluated","true","false","none","https://bizpages.org/business--Moldova--Chisinau--56371","","rejected_low_quality","false","false","https://moldovawebsite.md/","unavailable","not_detected","false","none","Claim flow used a challenge/redirect pattern","English","Existing Moldovawebsite.md profile found. The surrounding paid-link/blog-promotion model and claim challenge failed the quality threshold, so it was not claimed or counted."
"YellowPagesWorldNow","yellowpagesworldnow.com","general business directory","3","evaluated","false","false","none","","","rejected_wrong_country","false","false","","unavailable","not_checked","false","none","Not started","English","No genuine Moldova-compatible listing system was available; using another country would misrepresent the business."
"Hotfrog","hotfrog.com","general business directory","6","evaluated","false","false","none","","","rejected_wrong_country","false","false","","unavailable","not_checked","false","none","Not started","English","The current country network did not provide a Moldova listing path."
"Cylex","cylex.com","general business directory","6","evaluated","false","false","none","","","rejected_wrong_country","false","false","","unavailable","not_checked","false","none","Not started","English","No genuine Moldova-compatible Cylex listing system was verified."
"Bing Places","bingplaces.com","local business profile","8","evaluated","false","false","none","","","rejected_wrong_country","false","false","","unavailable","not_checked","false","none","Not started","English","Moldova was not supported in the current onboarding flow; no false country was selected."
"FindinHIVE Moldova","findinhive.com","business directory","5","evaluated","false","false","none","","","rejected_low_quality","false","false","","unavailable","not_checked","false","none","Not started","English","Sparse/empty Moldova coverage and an India-first directory pattern did not meet the real-visitor and editorial-quality threshold."
"SiteCatalog","sitecatalog.org","website directory","2","evaluated","false","false","none","","","rejected_low_quality","false","false","","unavailable","not_checked","false","none","Not started","English","Primarily a link-directory pattern rather than a credible business profile; rejected as backlink padding."
"F6S","f6s.com","startup profile","6","evaluated","false","false","none","","","rejected_low_quality","false","false","","unavailable","not_checked","false","none","Not started","English","The profile model is for startups/fundraising and would misrepresent an independent web-services business without a verified startup entity."
"Prospect.md","prospect.md","Moldova business directory","6","evaluated","false","false","none","","","failed_technical","false","false","","unavailable","not_checked","false","Inspect the site manually later to confirm a stable free public company-add workflow and website-link behavior.","JavaScript/anti-bot behavior prevented reliable inspection","Romanian","No reliable, verifiable free submission path was established."
"Cataloxy","cataloxy.com","general business directory","5","evaluated","false","false","none","","","rejected_wrong_country","false","false","","unavailable","not_checked","false","none","Not started","English","No Moldova-compatible listing path was verified."
"ProvenExpert","provenexpert.com","reputation profile","7","evaluated","false","false","none","","","rejected_paid","false","false","https://chisinauweb.com/","unavailable","not_checked","false","none","Not started","English","The useful onboarding path was a 30-day premium trial. Trials and recurring billing are outside authorization."
"Tencuitor.md","tencuitor.md","existing portfolio-site credit","8","legacy_mention_identified","true","false","none","https://tencuitor.md/","","requires_user_input","false","false","https://moldovawebsite.md/","unavailable","not_detected","false","Contact the site owner through the existing authorized business channel or update it in a separately authorized production task.","No public email/contact form; phone/WhatsApp only","Romanian","Footer still credits Moldova Website and points to the old domain. Site modification and WhatsApp outreach were outside authorization."
"Arcadie Systems","arcadie-systems.com","existing portfolio-site credit","8","legacy_mention_identified","true","false","none","https://arcadie-systems.com/en","","requires_user_input","false","false","https://moldovawebsite.md/","unavailable","not_detected","false","Contact the site owner through a separately authorized channel or update it in a separately authorized production task.","No public email/contact form found","English","Footer still points to the old brand/domain. No production change was made."
"MiereMoldova","mieremoldova.md","existing portfolio-site credit","8","legacy_mention_identified","true","false","none","https://mieremoldova.md/","","requires_user_input","false","false","https://moldovawebsite.md/","unavailable","not_detected","false","Contact the site owner through the existing authorized business channel or update it in a separately authorized production task.","No public email/contact form; phone/WhatsApp only","Romanian","Footer still points to the old brand/domain. Phone/WhatsApp outreach was not authorized."
"GitHub legacy repository","github.com","existing developer artifact","8","legacy_mention_identified","true","false","none","https://github.com/Narcis-Ionut/moldovawebsite","","requires_user_input","false","false","","unavailable","not_detected","false","If desired, the owner must separately authorize and perform a factual repository rename/description update; repository changes were explicitly out of scope.","Existing authenticated GitHub session; no changes made","English","Public repository name still contains the old brand. No description or website is currently shown, and the repository was not modified."
