keyword,cluster,search_volume,cpc,difficulty,country,language,intent,current_position,current_page,priority,recommended_url,page_type,notes
"creare site","Creare site Moldova",480,0.70,"High","MD","ro","Broad commercial","35.64","https://moldovawebsite.md/","P2","/","Homepage/service landing","High volume but broad; homepage should remain broad but internally link strongly to specific P1 pages."
"creare site web","Creare site Moldova",480,0.70,"High","MD","ro","Commercial","33.65","https://moldovawebsite.md/","P2","/","Homepage/service landing","Large impression gap; improve homepage title/H1 match and add service proof."
"creare website","Creare site Moldova",480,0.70,"High","MD","ro","Commercial","37.05","https://moldovawebsite.md/","P2","/","Homepage/service landing","Synonym cluster; add copy using website/creare website naturally."
"creare site moldova","Creare site Moldova",480,0.70,"High","MD","ro","Local commercial","32.06","https://moldovawebsite.md/","P1","/","Homepage/local landing","87 impressions; homepage is right page but needs stronger local evidence and comparison."
"creare website moldova","Creare site Moldova",480,0.70,"Medium-high","MD","ro","Local commercial","26.61","https://moldovawebsite.md/","P1","/","Homepage/local landing","Already has clicks; optimize snippet and internal links."
"creare site chisinau","Creare site Chisinau",70,1.05,"Medium-high","MD","ro","Local commercial","37.71","https://moldovawebsite.md/creare-site-chisinau/","P1","/creare-site-chisinau/","Local service landing","GSC has 105 impressions; dedicated page exists but needs more authority and local proof."
"creare web site chisinau","Creare site Chisinau",70,1.05,"Medium","MD","ro","Local commercial","","https://moldovawebsite.md/creare-site-chisinau/","P1","/creare-site-chisinau/","Local service landing","Seobility volume 70; add exact variant in page copy."
"creare site web chisinau","Creare site Chisinau",70,1.05,"Medium","MD","ro","Local commercial","31.93","https://moldovawebsite.md/creare-site-chisinau/","P1","/creare-site-chisinau/","Local service landing","Needs title/meta and internal anchors using Chisinau variants."
"site la comanda","Site la comanda",10,0.76,"Medium","MD","ro","Commercial custom site","25","https://moldovawebsite.md/site-la-comanda/","P2","/site-la-comanda/","Service landing page","2 clicks from 2 impressions on unaccented variant; expand with stronger offer."
"site la comandă","Site la comanda",10,0.76,"Medium","MD","ro","Commercial custom site","17","https://moldovawebsite.md/site-la-comanda/","P2","/site-la-comanda/","Service landing page","Accent variant at position 17; add exact phrase in copy and title alternatives."
"site-uri la comandă","Site la comanda",10,0.76,"Medium","MD","ro","Commercial custom site","29","https://moldovawebsite.md/site-la-comanda/","P3","/site-la-comanda/","Service landing page","Low volume but intent is high; use in FAQ."
"creare site la comandă","Site la comanda",10,0.76,"Medium","MD","ro","Commercial custom site","32.62","https://moldovawebsite.md/site-la-comanda/","P2","/site-la-comanda/","Service landing page","Needs stronger internal linking from homepage pricing cards."
"creare magazin online","Magazin online RO",40,0.78,"Medium-high","MD","ro","Transactional ecommerce","30.27","https://moldovawebsite.md/serviciiBlog/magazin-online/","P1","/serviciiBlog/magazin-online/","Ecommerce service page","30 impressions and page has 280 impressions; improve page for ecommerce buyer intent."
"creare magazin online moldova","Magazin online RO",40,0.78,"Medium-high","MD","ro","Local ecommerce","28.48","https://moldovawebsite.md/serviciiBlog/magazin-online/","P1","/serviciiBlog/magazin-online/","Ecommerce service page","56 GSC impressions; add Moldova-specific intro, packages, and local payment/delivery copy."
"creare magazin online chișinău","Magazin online RO",40,0.78,"Medium","MD","ro","Local ecommerce","25.63","https://moldovawebsite.md/serviciiBlog/magazin-online/","P1","/creare-magazin-online-chisinau/","New local landing page","Dedicated Chisinau e-commerce page can target local SERP more directly."
"pret creare site magazin online","Magazin online RO",10,0.00,"Low","MD","ro","Ecommerce price","","https://moldovawebsite.md/serviciiBlog/magazin-online/","P1","/preturi-magazin-online/","New pricing page","High-intent price query; create focused page or strong /preturi/ section."
"creare magazin online ieftin","Magazin online RO",10,0.00,"Medium","MD","ro","Budget ecommerce","","https://moldovawebsite.md/serviciiBlog/magazin-online/","P2","/serviciiBlog/magazin-online/","Ecommerce service page","Cartum dominates cheap ecommerce; position as small custom mini-store from 300 EUR."
"realizare site magazin online","Magazin online RO",10,0.00,"Medium","MD","ro","Ecommerce service","","https://moldovawebsite.md/serviciiBlog/magazin-online/","P2","/serviciiBlog/magazin-online/","Ecommerce service page","Use in subheading and FAQ."
"web design moldova","Web design RO",20,0.55,"Medium","MD","ro","Commercial design","63.5","https://moldovawebsite.md/web-design-moldova/","P2","/web-design-moldova/","Design service landing","Dedicated page exists but has weak GSC traction; add portfolio/design examples."
"web design chisinau","Web design RO",10,0.00,"Medium","MD","ro","Local design","","https://moldovawebsite.md/web-design-moldova/","P2","/web-design-chisinau/","New local landing page","Create if design leads are a priority; SERP expects agency/design proof."
"seo moldova","SEO Moldova",50,0.28,"Medium-high","MD","ro","SEO service/info","46.03","https://moldovawebsite.md/seo-moldova/","P2","/seo-moldova/","SEO service landing","64 impressions but low position; page needs stronger topical depth and proof."
"seo chisinau","SEO Moldova",30,0.00,"Medium","MD","ro","Local SEO service","48.67","https://moldovawebsite.md/seo-moldova/","P2","/seo-chisinau/","New local landing page","Useful after /seo-moldova/ is improved."
"servicii seo moldova","SEO Moldova",10,0.00,"Medium","MD","ro","Commercial SEO","23.33","https://moldovawebsite.md/seo-moldova/","P2","/seo-moldova/","SEO service landing","Commercial intent; add packages, deliverables, and case style examples."
"servicii seo chisinau","SEO Moldova",10,0.00,"Medium","MD","ro","Local SEO service","47.22","https://moldovawebsite.md/seo-moldova/","P3","/seo-chisinau/","New local landing page","Secondary after main SEO page."
"mentenanta website","Mentenanta",10,0.00,"Low","MD","ro","Maintenance service","","https://moldovawebsite.md/serviciiBlog/mentenanta/","P3","/serviciiBlog/mentenanta/","Maintenance service page","Low volume but recurring revenue; optimize for monthly support."
"servicii mentenanta website","Mentenanta",10,0.00,"Low","MD","ro","Maintenance service","4","https://moldovawebsite.md/serviciiBlog/mentenanta/","P2","/serviciiBlog/mentenanta/","Maintenance service page","Position 4 quick win; improve title/meta and add internal links."
"создание сайта кишинев","RU creare site",90,1.00,"Medium-high","MD","ru","Local commercial","50.53","https://moldovawebsite.md/ru/sozdanie-saitov-kishinev/","P1","/ru/sozdanie-saitov-kishinev/","RU local service landing","Seobility volume 90; GSC has 55 impressions but page is too weak."
"создание сайтов кишинев","RU creare site",90,1.00,"Medium-high","MD","ru","Local commercial","50.2","https://moldovawebsite.md/ru/sozdanie-saitov-kishinev/","P1","/ru/sozdanie-saitov-kishinev/","RU local service landing","RU SERP has agencies; strengthen page with prices and examples."
"создание сайтов","RU creare site",70,0.76,"High","MD","ru","Commercial broad","63.5","https://moldovawebsite.md/ru/","P2","/ru/","RU homepage/service landing","Broad RU term; homepage needs stronger Russian copy quality and internal links."
"создание сайтов молдова","RU creare site",70,0.76,"Medium-high","MD","ru","Local commercial","37.82","https://moldovawebsite.md/ru/sozdanie-saitov-kishinev/","P1","/ru/sozdanie-saitov-kishinev/","RU local service landing","Add Moldova-wide variant in title/H1 support."
"разработка сайтов молдова","RU creare site",70,0.76,"Medium-high","MD","ru","Development service","53.92","https://moldovawebsite.md/ru/serviciiBlog/dezvoltare-web/","P2","/ru/razrabotka-saitov-moldova/","New RU development landing","Different wording than creation; create only after RU main page improves."
"создание интернет магазина молдова","RU magazin online",10,0.60,"Medium","MD","ru","RU ecommerce","26.71","https://moldovawebsite.md/ru/serviciiBlog/magazin-online/","P1","/ru/serviciiBlog/magazin-online/","RU ecommerce service page","41 GSC impressions; improve page with exact phrase, price, delivery/payment."
"создание интернет магазина кишинев","RU magazin online",10,0.60,"Medium","MD","ru","RU local ecommerce","32.34","https://moldovawebsite.md/ru/serviciiBlog/magazin-online/","P1","/ru/sozdanie-internet-magazina-kishinev/","New RU local ecommerce page","Dedicated page can attack local buyer intent."
"сайт на заказ молдова","RU site la comanda",10,0.76,"Medium","MD","ru","RU custom site","23.97","https://moldovawebsite.md/ru/sozdanie-saitov-kishinev/","P2","/ru/sait-na-zakaz-moldova/","New/support landing","High-intent low-volume; can be section first, page later."
"сайт на заказ кишинев","RU site la comanda",10,0.76,"Medium","MD","ru","RU custom site","31.78","https://moldovawebsite.md/ru/sozdanie-saitov-kishinev/","P2","/ru/sait-na-zakaz-kishinev/","New/support landing","Good long-tail for RU conversions."
"сайт визитка","RU site de prezentare",10,0.41,"Medium","MD","ru","RU site presentation","20","https://moldovawebsite.md/ru/sait-vizitka/","P2","/ru/sait-vizitka/","RU service landing","Existing page maps well; improve internal links and price block."
"сайт цены","RU preturi",10,0.41,"Low","MD","ru","RU price","4","https://moldovawebsite.md/ru/preturi/","P1","/ru/preturi/","RU pricing page","Position 4 quick win; improve RU title/meta and snippet clarity."
"разработка сайтов цена","RU preturi",10,0.76,"Low","MD","ru","RU price","6","https://moldovawebsite.md/ru/preturi/","P1","/ru/preturi/","RU pricing page","Position 6; add exact phrase FAQ."
"цена создания сайта","RU preturi",10,0.76,"Medium","MD","ru","RU price","48.67","https://moldovawebsite.md/ru/preturi/","P2","/ru/preturi/","RU pricing page","Use as FAQ and internal anchor."
"landing page moldova","Landing page",10,0.00,"Low-medium","MD","ro","Landing service","44.5","https://moldovawebsite.md/preturi/","P3","/landing-page-moldova/","New landing service page","Only build after P1 price/ecommerce fixes; aligns with 50 EUR offer."
